step,avg_psnr,avg_ssim,avg_lpips,num_valid
0,28.877250,0.9525300212765958,0.03972936170212766,47
1,27.733192,0.9460262765957448,0.04626134042553192,47
2,26.738026,0.9396559787234043,0.05392134042553191,47
3,26.036642,0.9325848510638299,0.06355574468085107,47
4,25.526243,0.9258535531914891,0.07349670212765957,47
5,25.082739,0.9183385319148937,0.08324682978723404,47
6,24.677128,0.9112147446808512,0.0925864680851064,47
7,24.225465,0.9045542127659574,0.10098065957446808,47
8,23.840103,0.8980958936170215,0.10796731914893616,47
9,23.476012,0.8922199361702129,0.11472529787234045,47
10,23.023730,0.8874027872340426,0.12106257446808508,47
11,22.573855,0.8828840638297872,0.12652199999999997,47
12,22.097465,0.878500744680851,0.13135808510638294,47
13,21.750600,0.8746876382978721,0.13558634042553191,47
14,21.437916,0.8710728936170213,0.13975240425531915,47
15,21.143147,0.8674241063829786,0.14352868085106382,47
16,20.876269,0.8644268936170213,0.14680642553191492,47
17,20.622858,0.8613182978723405,0.15003740425531917,47
18,20.385779,0.8583100000000001,0.1529982127659575,47
19,20.151439,0.8552539574468087,0.1557824893617021,47
