step,avg_psnr,avg_ssim,avg_lpips,num_scenes
0,28.877250,0.952530,0.039729,N/A
1,27.733192,0.946026,0.046261,N/A
2,26.738026,0.939656,0.053921,N/A
3,26.036642,0.932585,0.063556,N/A
4,25.526243,0.925854,0.073497,N/A
5,25.082739,0.918339,0.083247,N/A
6,24.677128,0.911215,0.092586,N/A
7,24.225465,0.904554,0.100981,N/A
8,23.840103,0.898096,0.107967,N/A
9,23.476012,0.892220,0.114725,N/A
10,23.023730,0.887403,0.121063,N/A
11,22.573855,0.882884,0.126522,N/A
12,22.097465,0.878501,0.131358,N/A
13,21.750600,0.874688,0.135586,N/A
14,21.437916,0.871073,0.139752,N/A
15,21.143147,0.867424,0.143529,N/A
16,20.876269,0.864427,0.146806,N/A
17,20.622858,0.861318,0.150037,N/A
18,20.385779,0.858310,0.152998,N/A
19,20.151439,0.855254,0.155782,N/A
