object,view,step,envmap,psnr,ssim,lpips
Barrel_02,00004,0,Barrel_02_env_2,26.09987,0.9318612813949585,0.027089785784482956
Barrel_02,00004,1,Barrel_02_env_2,25.789812,0.9289562106132507,0.03428220376372337
Barrel_02,00004,2,Barrel_02_env_2,24.60788,0.9229900240898132,0.0439181812107563
Barrel_02,00004,3,Barrel_02_env_2,24.086931,0.9176906943321228,0.05400771275162697
Barrel_02,00004,4,Barrel_02_env_2,23.84439,0.9122487306594849,0.0643029659986496
Barrel_02,00004,5,Barrel_02_env_2,23.653969,0.9059586524963379,0.07654546201229095
Barrel_02,00004,6,Barrel_02_env_2,23.495594,0.8985810279846191,0.09254905581474304
Barrel_02,00004,7,Barrel_02_env_2,23.408154,0.8887754678726196,0.11468933522701263
Barrel_02,00004,8,Barrel_02_env_2,23.099522,0.8745653033256531,0.15572726726531982
Barrel_02,00004,9,Barrel_02_env_2,22.341595,0.8579465746879578,0.2032654583454132
Barrel_02,00004,10,Barrel_02_env_2,21.347248,0.8403448462486267,0.2441597580909729
Barrel_02,00004,11,Barrel_02_env_2,20.301353,0.822007417678833,0.2801850736141205
Barrel_02,00004,12,Barrel_02_env_2,19.359892,0.8027256727218628,0.3128686249256134
Barrel_02,00004,13,Barrel_02_env_2,18.607782,0.7836512923240662,0.3369804620742798
Barrel_02,00004,14,Barrel_02_env_2,17.956532,0.7653970718383789,0.3574211597442627
Barrel_02,00004,15,Barrel_02_env_2,17.35047,0.7483991980552673,0.3703431487083435
Barrel_02,00004,16,Barrel_02_env_2,16.790596,0.7326012849807739,0.3797301948070526
Barrel_02,00004,17,Barrel_02_env_2,16.308346,0.717864990234375,0.38889527320861816
Barrel_02,00004,18,Barrel_02_env_2,15.89466,0.7039645910263062,0.39755553007125854
Barrel_02,00004,19,Barrel_02_env_2,15.521674,0.691672682762146,0.4061518609523773
Camera_01,00033,0,Camera_01_env_2,31.380663,0.970239520072937,0.017488915473222733
Camera_01,00033,1,Camera_01_env_0,25.437263,0.9303359985351562,0.02734418213367462
Camera_01,00033,2,Camera_01_env_2,25.08575,0.9300755262374878,0.039462242275476456
Camera_01,00033,3,Camera_01_env_2,24.542114,0.9265127182006836,0.04488174617290497
Camera_01,00033,4,Camera_01_env_0,24.13984,0.9217841029167175,0.039648327976465225
Camera_01,00033,5,Camera_01_env_0,23.610195,0.9159030318260193,0.04546435549855232
Camera_01,00033,6,Camera_01_env_2,22.819214,0.9093451499938965,0.06477765738964081
Camera_01,00033,7,Camera_01_env_1,22.275227,0.9029508829116821,0.07324495166540146
Camera_01,00033,8,Camera_01_env_2,21.640831,0.8928442001342773,0.08530402928590775
Camera_01,00033,9,Camera_01_env_2,20.69001,0.8712677359580994,0.109290711581707
Camera_01,00033,10,Camera_01_env_2,19.10632,0.8250603079795837,0.19248300790786743
Camera_01,00033,11,Camera_01_env_2,16.691893,0.7545387148857117,0.3247726261615753
Camera_01,00033,12,Camera_01_env_0,14.861321,0.6804889440536499,0.45766425132751465
Camera_01,00033,13,Camera_01_env_2,13.151819,0.5922725200653076,0.557686984539032
Camera_01,00033,14,Camera_01_env_1,12.284669,0.5586113333702087,0.6025476455688477
Camera_01,00033,15,Camera_01_env_0,11.593881,0.538320779800415,0.6371822357177734
Camera_01,00033,16,Camera_01_env_1,10.907368,0.5224043130874634,0.6632205843925476
Camera_01,00033,17,Camera_01_env_1,10.259098,0.5103715658187866,0.6871726512908936
Camera_01,00033,18,Camera_01_env_1,9.635616,0.4999019503593445,0.7095828056335449
Camera_01,00033,19,Camera_01_env_1,9.038598,0.49050045013427734,0.729449987411499
ClassicConsole_01,00041,0,ClassicConsole_01_env_2,33.71213,0.9807283282279968,0.015507007017731667
ClassicConsole_01,00041,1,ClassicConsole_01_env_0,28.276028,0.9507057070732117,0.02671264111995697
ClassicConsole_01,00041,2,ClassicConsole_01_env_2,28.128881,0.959709644317627,0.030172254890203476
ClassicConsole_01,00041,3,ClassicConsole_01_env_2,26.799414,0.9531988501548767,0.036835167557001114
ClassicConsole_01,00041,4,ClassicConsole_01_env_0,22.855644,0.929672122001648,0.06555628031492233
ClassicConsole_01,00041,5,ClassicConsole_01_env_0,21.273975,0.9201623201370239,0.08321823924779892
ClassicConsole_01,00041,6,ClassicConsole_01_env_2,22.21655,0.9243137836456299,0.08463035523891449
ClassicConsole_01,00041,7,ClassicConsole_01_env_1,18.329205,0.8864521384239197,0.12729454040527344
ClassicConsole_01,00041,8,ClassicConsole_01_env_2,20.143091,0.8807648420333862,0.15218788385391235
ClassicConsole_01,00041,9,ClassicConsole_01_env_2,18.017843,0.8231171369552612,0.2827918231487274
ClassicConsole_01,00041,10,ClassicConsole_01_env_2,15.568724,0.7316071391105652,0.4222191572189331
ClassicConsole_01,00041,11,ClassicConsole_01_env_2,13.75142,0.6522426009178162,0.5046875476837158
ClassicConsole_01,00041,12,ClassicConsole_01_env_0,12.526856,0.6006569862365723,0.5383695363998413
ClassicConsole_01,00041,13,ClassicConsole_01_env_2,11.845772,0.5675644874572754,0.5751217603683472
ClassicConsole_01,00041,14,ClassicConsole_01_env_1,11.235547,0.5541015863418579,0.5981003046035767
ClassicConsole_01,00041,15,ClassicConsole_01_env_0,10.625067,0.5386180877685547,0.6286288499832153
ClassicConsole_01,00041,16,ClassicConsole_01_env_1,10.282127,0.5359799861907959,0.6478821039199829
